p,n,temps,nb_pareto,nb_lorenz
2,20,0.02613520622253418,5,2
2,50,2.7617781162261963,29,2
2,100,74.859050989151,64,3
2,150,536.7489249706268,105,14
2,200,2004.57355594635,149,29
3,20,0.17137789726257324,21,7
3,50,162.14578413963318,166,9
3,100,18601.9385368824,1208,19
4,20,0.6737651824951172,62,4
4,50,990.6196641921997,627,10
5,20,2.8961498737335205,155,3
5,50,14363.851960897446,3802,22
6,20,6.492675065994263,343,4
6,50,79249.52213263512,12014,220
